Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
focus,1,100.0,0.0,1219714032
missionaries,1,100.0,0.0,3260191711
freedom,7,71.42857142857143,28.57142857142857,2391370394
freedom,7,71.42857142857143,28.57142857142857,3166163040
freedom,7,71.42857142857143,28.57142857142857,2196884166
freedom,7,71.42857142857143,28.57142857142857,32138442
freedom,7,71.42857142857143,28.57142857142857,17362917
freedom,7,71.42857142857143,28.57142857142857,17362917
freedom,7,71.42857142857143,28.57142857142857,574998716
nation,2,50.0,50.0,355470606
nation,2,50.0,50.0,1286987072
superstition,2,0.0,100.0,36005781
superstition,2,0.0,100.0,356026306
moealqadi,1,0.0,100.0,228147604
crazy,1,0.0,100.0,1891556472
landscape,1,100.0,0.0,231683938
bible,1,0.0,100.0,584664650
lds,1,100.0,0.0,3260191711
religions,2,0.0,100.0,3345800758
religions,2,0.0,100.0,495602226
curses,1,0.0,100.0,67151580
language,1,0.0,100.0,1914506792
fuckharper,1,0.0,100.0,2900026083
process,1,100.0,0.0,2977573522
tomorrow,1,100.0,0.0,462114432
4th,1,100.0,0.0,28737338
religiousfreedom,1,100.0,0.0,547260331
heaven,2,100.0,0.0,849122588
heaven,2,100.0,0.0,569581021
sacrafice,1,100.0,0.0,756049831
benson,1,100.0,0.0,3064348854
outcomes,1,100.0,0.0,497964337
lamb,2,50.0,50.0,3201486555
lamb,2,50.0,50.0,30695606
doctrines,1,0.0,100.0,473920162
shame,2,0.0,100.0,2894492515
shame,2,0.0,100.0,1900908690
age,1,100.0,0.0,247502019
kind,1,100.0,0.0,1551803456
bharat,1,0.0,100.0,156209575
gospelbeat,1,100.0,0.0,215876901
graces,1,100.0,0.0,39857486
claims,1,0.0,100.0,1716904873
healing,1,100.0,0.0,919886574
regrets,1,100.0,0.0,2738526278
salah,1,100.0,0.0,1219714032
tunisia,2,0.0,100.0,17067404
tunisia,2,0.0,100.0,572784902
goodness,2,100.0,0.0,822444836
goodness,2,100.0,0.0,2834570816
adams,1,0.0,100.0,2894492515
wisdom,1,100.0,0.0,67151580
comments,1,0.0,100.0,3244932869
strength,3,100.0,0.0,388579974
strength,3,100.0,0.0,3093535243
strength,3,100.0,0.0,522110370
light,3,100.0,0.0,2195493073
light,3,100.0,0.0,489063004
light,3,100.0,0.0,3010762010
need,2,100.0,0.0,3007482001
need,2,100.0,0.0,1147734344
butgod,1,100.0,0.0,249782044
moment,2,100.0,0.0,195785570
moment,2,100.0,0.0,3279650217
happiness,1,100.0,0.0,173789958
whoever,1,100.0,0.0,2381198785
kingdom,1,100.0,0.0,569581021
