Tweet_ID,User_ID,User_Follower_Counts,Topic,Targets,Target's Polarity Score,Stance
588385636681322497,388579974,812,Atheism,lord,0.3134493716061115,AGAINST
588385636681322497,388579974,812,Atheism,blessings,0.31343693658709526,AGAINST
588385636681322497,388579974,812,Atheism,sins,0.31344664096832275,AGAINST
588385636681322497,388579974,812,Atheism,lord,0.3134493716061115,AGAINST
588385636681322497,388579974,812,Atheism,strength,0.3134371004998684,AGAINST
588385636681322497,388579974,812,Atheism,energy,0.3134381175041199,AGAINST
588385636681322497,388579974,812,Atheism,day,0.31344272941350937,AGAINST
588385636681322497,388579974,812,Atheism,hope,0.6852393262088299,AGAINST
588386306532777985,16027532,69376,Atheism,peacemakers,0.4402667060494423,AGAINST
588386306532777985,16027532,69376,Atheism,god,0.4354386441409588,AGAINST
588386306532777985,16027532,69376,Atheism,matthew,0.23817797005176544,AGAINST
588386306532777985,16027532,69376,Atheism,peace,0.23818430304527283,AGAINST
588391388619890688,1219714032,20,Atheism,salah,0.3736709952354431,AGAINST
588391388619890688,1219714032,20,Atheism,focus,0.3696531280875206,AGAINST
588391388619890688,1219714032,20,Atheism,understanding,0.36965133994817734,AGAINST
588426575483432962,710757859,311,Atheism,women,0.45743230544030666,AGAINST
588426575483432962,710757859,311,Atheism,women,0.7066651005297899,AGAINST
588435520264523776,249782044,4654,Atheism,peace,0.4341177009046078,AGAINST
588435520264523776,249782044,4654,Atheism,time,0.4341215752065182,AGAINST
588435520264523776,249782044,4654,Atheism,battle,0.43411971256136894,AGAINST
588435520264523776,249782044,4654,Atheism,truth,0.2598946839570999,AGAINST
588435520264523776,249782044,4654,Atheism,butgod,0.26440348476171494,AGAINST
588450499629834240,864558457,1388,Atheism,muhammad,0.4696696065366268,AGAINST
588450499629834240,864558457,1388,Atheism,gift,0.469666488468647,AGAINST
588450499629834240,864558457,1388,Atheism,love,0.4696723185479641,AGAINST
588450499629834240,864558457,1388,Atheism,one,0.46967074275016785,AGAINST
588450882456453120,2229265825,802,Atheism,halcyondon,0.2976878583431244,NONE
588450882456453120,2229265825,802,Atheism,luck,0.28723616153001785,NONE
588492191523188736,17362917,9473,Atheism,meeting,0.33706070855259895,FAVOR
588492191523188736,17362917,9473,Atheism,ups,0.3370591960847378,FAVOR
588509543509790721,162406336,174,Atheism,devil,-0.7848653011023998,AGAINST
588509543509790721,162406336,174,Atheism,enemy,-0.7848543021827936,AGAINST
588509543509790721,162406336,174,Atheism,mind,-0.7848624009639025,AGAINST
588509543509790721,162406336,174,Atheism,battleground,-0.7867288365960121,AGAINST
588519327290142721,467681653,289,Atheism,discoveries,-0.733937231823802,FAVOR
588519327290142721,467681653,289,Atheism,texts,-0.7339356541633606,FAVOR
588535895596224512,3007482001,34,Atheism,need,0.37206536531448364,AGAINST
588535895596224512,3007482001,34,Atheism,god,0.37206875532865524,AGAINST
588535895596224512,3007482001,34,Atheism,love,0.3720584437251091,AGAINST
588535895596224512,3007482001,34,Atheism,god,0.37206875532865524,AGAINST
588535895596224512,3007482001,34,Atheism,semst,0.5529635809361935,AGAINST
588595888580272130,1551803456,77,Atheism,kind,0.4445605054497719,NONE
588595888580272130,1551803456,77,Atheism,dogs,0.4445580057799816,NONE
588595888580272130,1551803456,77,Atheism,dump,-0.5842570923268795,NONE
588631170721550336,281294184,299,Atheism,ball,0.3410145789384842,NONE
588673926680727552,3027683998,107,Atheism,sunday,0.6705120615661144,AGAINST
588673926680727552,3027683998,107,Atheism,church,0.5446424931287766,AGAINST
588673926680727552,3027683998,107,Atheism,happines,0.5545518547296524,AGAINST
588705428835422210,19728844,294,Atheism,thing,0.37390977516770363,AGAINST
588705428835422210,19728844,294,Atheism,everything,0.37390078604221344,AGAINST
588705428835422210,19728844,294,Atheism,semst,0.529851783066988,AGAINST
588713429210271745,341179470,815,Atheism,love,0.5456751808524132,AGAINST
588713429210271745,341179470,815,Atheism,mercy,0.5456660091876984,AGAINST
588713429210271745,341179470,815,Atheism,darkness,0.5456612184643745,AGAINST
588735809873928192,23885775,6814,Atheism,end,0.3988102972507477,AGAINST
588735809873928192,23885775,6814,Atheism,day,0.39881788939237595,AGAINST
588735809873928192,23885775,6814,Atheism,maker,0.39880846813321114,AGAINST
588735809873928192,23885775,6814,Atheism,day,0.39881788939237595,AGAINST
588735809873928192,23885775,6814,Atheism,semst,0.2957976758480072,AGAINST
592573245842403328,1137273540,4380,Atheism,seizure,0.3280753791332245,FAVOR
592573245842403328,1137273540,4380,Atheism,evidence,0.30457134544849396,FAVOR
592573245842403328,1137273540,4380,Atheism,god,0.30458497256040573,FAVOR
592587052983681024,849122588,308,Atheism,heaven,0.2193264365196228,AGAINST
592587052983681024,849122588,308,Atheism,might,0.21932180225849152,AGAINST
592587052983681024,849122588,308,Atheism,eander,0.2210884615778923,AGAINST
592589103251726337,29757178,319,Atheism,day,-0.37165648490190506,NONE
592589103251726337,29757178,319,Atheism,life,-0.3716600760817528,NONE
592589103251726337,29757178,319,Atheism,nan,-0.3716534748673439,NONE
592600179892723713,1716904873,5420,Atheism,god,-0.36907975375652313,FAVOR
