Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
thosevisions,1,100.0,0.0,919886574
pillars,4,75.0,25.0,2412448794
pillars,4,75.0,25.0,3266810329
pillars,4,75.0,25.0,2412448794
pillars,4,75.0,25.0,2412448794
monday,1,100.0,0.0,2602052260
vain,1,0.0,100.0,115090735
creativelife,1,100.0,0.0,15335491
folks,9,11.11111111111111,88.88888888888889,511231057
folks,9,11.11111111111111,88.88888888888889,1099214587
folks,9,11.11111111111111,88.88888888888889,1099214587
folks,9,11.11111111111111,88.88888888888889,2196884166
folks,9,11.11111111111111,88.88888888888889,1099214587
folks,9,11.11111111111111,88.88888888888889,284677404
folks,9,11.11111111111111,88.88888888888889,2196884166
folks,9,11.11111111111111,88.88888888888889,397812389
folks,9,11.11111111111111,88.88888888888889,32138442
sayn,1,100.0,0.0,1099214587
godlessvagina,1,0.0,100.0,420572254
iam,4,75.0,25.0,581500758
iam,4,75.0,25.0,511231057
iam,4,75.0,25.0,581500758
iam,4,75.0,25.0,581500758
affront,1,0.0,100.0,1458272461
voicewithin,1,100.0,0.0,919886574
oversee,1,0.0,100.0,919886574
scotus,3,33.33333333333333,66.66666666666666,36005781
scotus,3,33.33333333333333,66.66666666666666,1458272461
scotus,3,33.33333333333333,66.66666666666666,154183934
horse,3,33.33333333333333,66.66666666666666,196531533
horse,3,33.33333333333333,66.66666666666666,196531533
horse,3,33.33333333333333,66.66666666666666,42795468
resources,4,75.0,25.0,60935743
resources,4,75.0,25.0,92728914
resources,4,75.0,25.0,2464554372
resources,4,75.0,25.0,581500758
food,9,88.88888888888889,11.11111111111111,540660963
food,9,88.88888888888889,11.11111111111111,919886574
food,9,88.88888888888889,11.11111111111111,2566078809
food,9,88.88888888888889,11.11111111111111,196531533
food,9,88.88888888888889,11.11111111111111,196531533
food,9,88.88888888888889,11.11111111111111,392514148
food,9,88.88888888888889,11.11111111111111,1683575401
food,9,88.88888888888889,11.11111111111111,582445927
food,9,88.88888888888889,11.11111111111111,582445927
soteriaservicecome,1,100.0,0.0,712746949
restore,1,100.0,0.0,2738526278
corner,1,0.0,100.0,919886574
mode,4,100.0,0.0,3081503914
mode,4,100.0,0.0,3081503914
mode,4,100.0,0.0,3081503914
mode,4,100.0,0.0,3081503914
helper,1,100.0,0.0,383990793
green,1,0.0,100.0,2412448794
newlife,1,100.0,0.0,581500758
yuuup,1,100.0,0.0,297943941
naik,1,0.0,100.0,2412448794
returntogod,13,100.0,0.0,581500758
returntogod,13,100.0,0.0,581500758
returntogod,13,100.0,0.0,581500758
returntogod,13,100.0,0.0,581500758
returntogod,13,100.0,0.0,581500758
returntogod,13,100.0,0.0,581500758
returntogod,13,100.0,0.0,581500758
returntogod,13,100.0,0.0,581500758
returntogod,13,100.0,0.0,581500758
returntogod,13,100.0,0.0,581500758
returntogod,13,100.0,0.0,581500758
returntogod,13,100.0,0.0,581500758
returntogod,13,100.0,0.0,581500758
hem,1,100.0,0.0,196531533
hitlers,1,0.0,100.0,1458272461
message,21,100.0,0.0,2412448794
message,21,100.0,0.0,35627887
message,21,100.0,0.0,392514148
message,21,100.0,0.0,383990793
message,21,100.0,0.0,3007482001
message,21,100.0,0.0,3266810329
message,21,100.0,0.0,2738526278
message,21,100.0,0.0,557078282
message,21,100.0,0.0,392514148
message,21,100.0,0.0,1099214587
message,21,100.0,0.0,2412448794
message,21,100.0,0.0,2412448794
message,21,100.0,0.0,2412448794
message,21,100.0,0.0,1489300873
message,21,100.0,0.0,952682149
message,21,100.0,0.0,2412448794
message,21,100.0,0.0,1891615903
message,21,100.0,0.0,2412448794
message,21,100.0,0.0,952682149
message,21,100.0,0.0,2381198785
message,21,100.0,0.0,2412448794
nights,2,100.0,0.0,919886574
nights,2,100.0,0.0,44245603
judgement,8,12.5,87.5,228147604
judgement,8,12.5,87.5,420572254
judgement,8,12.5,87.5,420572254
judgement,8,12.5,87.5,115090735
judgement,8,12.5,87.5,540660963
judgement,8,12.5,87.5,756049831
judgement,8,12.5,87.5,1683575401
judgement,8,12.5,87.5,1683575401
imitatechrist,3,66.66666666666666,33.33333333333333,581500758
imitatechrist,3,66.66666666666666,33.33333333333333,581500758
imitatechrist,3,66.66666666666666,33.33333333333333,581500758
gospeltoday,1,0.0,100.0,297943941
rebuked,2,100.0,0.0,581500758
rebuked,2,100.0,0.0,581500758
colleagues,2,100.0,0.0,284677404
colleagues,2,100.0,0.0,284677404
morningprayer,1,100.0,0.0,19728844
dnc,2,0.0,100.0,274335684
dnc,2,0.0,100.0,274335684
heathen,3,100.0,0.0,115090735
heathen,3,100.0,0.0,420572254
heathen,3,100.0,0.0,2195493073
seas,1,100.0,0.0,196531533
wikipedia,1,0.0,100.0,1458272461
frontlets,1,100.0,0.0,159302754
greatest,2,100.0,0.0,2464554372
greatest,2,100.0,0.0,2464554372
conquerors,5,60.0,40.0,756049831
conquerors,5,60.0,40.0,2464554372
conquerors,5,60.0,40.0,42795468
conquerors,5,60.0,40.0,2464554372
conquerors,5,60.0,40.0,952682149
yearofdepthsandheights,1,100.0,0.0,712746949
motive,1,100.0,0.0,2464554372
blueprint,3,100.0,0.0,60935743
blueprint,3,100.0,0.0,60935743
blueprint,3,100.0,0.0,60935743
humankind,1,100.0,0.0,2412448794
holiday,2,100.0,0.0,24761032
holiday,2,100.0,0.0,24761032
sit,1,100.0,0.0,2464554372
mondaymorning,1,100.0,0.0,2738526278
pardoning,1,0.0,100.0,392514148
god!they,1,100.0,0.0,919886574
degrees,1,0.0,100.0,1458272461
replacement,1,0.0,100.0,36023807
hath,37,67.56756756756756,32.432432432432435,1428039019
hath,37,67.56756756756756,32.432432432432435,159302754
hath,37,67.56756756756756,32.432432432432435,35627887
hath,37,67.56756756756756,32.432432432432435,35627887
hath,37,67.56756756756756,32.432432432432435,35627887
hath,37,67.56756756756756,32.432432432432435,35627887
hath,37,67.56756756756756,32.432432432432435,513787993
hath,37,67.56756756756756,32.432432432432435,513787993
hath,37,67.56756756756756,32.432432432432435,35627887
hath,37,67.56756756756756,32.432432432432435,35627887
hath,37,67.56756756756756,32.432432432432435,35627887
hath,37,67.56756756756756,32.432432432432435,35627887
hath,37,67.56756756756756,32.432432432432435,35627887
hath,37,67.56756756756756,32.432432432432435,35627887
hath,37,67.56756756756756,32.432432432432435,35627887
hath,37,67.56756756756756,32.432432432432435,35627887
hath,37,67.56756756756756,32.432432432432435,756049831
hath,37,67.56756756756756,32.432432432432435,756049831
hath,37,67.56756756756756,32.432432432432435,756049831
hath,37,67.56756756756756,32.432432432432435,2195493073
hath,37,67.56756756756756,32.432432432432435,756049831
hath,37,67.56756756756756,32.432432432432435,1428039019
hath,37,67.56756756756756,32.432432432432435,215446879
hath,37,67.56756756756756,32.432432432432435,159302754
hath,37,67.56756756756756,32.432432432432435,159302754
hath,37,67.56756756756756,32.432432432432435,159302754
hath,37,67.56756756756756,32.432432432432435,2195493073
hath,37,67.56756756756756,32.432432432432435,2195493073
hath,37,67.56756756756756,32.432432432432435,2195493073
hath,37,67.56756756756756,32.432432432432435,2195493073
hath,37,67.56756756756756,32.432432432432435,2195493073
hath,37,67.56756756756756,32.432432432432435,2195493073
hath,37,67.56756756756756,32.432432432432435,2195493073
hath,37,67.56756756756756,32.432432432432435,159302754
hath,37,67.56756756756756,32.432432432432435,2195493073
hath,37,67.56756756756756,32.432432432432435,2195493073
hath,37,67.56756756756756,32.432432432432435,159302754
hippie,1,0.0,100.0,516563463
hhh,1,100.0,0.0,1870184766
team,3,66.66666666666666,33.33333333333333,919886574
team,3,66.66666666666666,33.33333333333333,284677404
team,3,66.66666666666666,33.33333333333333,274335684
rulers,3,100.0,0.0,557078282
rulers,3,100.0,0.0,557078282
rulers,3,100.0,0.0,1374664320
amp;finisher,3,100.0,0.0,1099214587
amp;finisher,3,100.0,0.0,1099214587
amp;finisher,3,100.0,0.0,1099214587
supercelebrationservice,1,100.0,0.0,712746949
hail,1,100.0,0.0,215446879
passions,1,100.0,0.0,60935743
boundaries,2,50.0,50.0,17067404
boundaries,2,50.0,50.0,1099214587
man,230,54.347826086956516,45.65217391304348,794810444
man,230,54.347826086956516,45.65217391304348,51175773
man,230,54.347826086956516,45.65217391304348,3199390706
man,230,54.347826086956516,45.65217391304348,2412448794
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,2195493073
man,230,54.347826086956516,45.65217391304348,581500758
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,159302754
man,230,54.347826086956516,45.65217391304348,581500758
man,230,54.347826086956516,45.65217391304348,581500758
man,230,54.347826086956516,45.65217391304348,2381198785
man,230,54.347826086956516,45.65217391304348,1458272461
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,2195493073
man,230,54.347826086956516,45.65217391304348,3132637902
man,230,54.347826086956516,45.65217391304348,548626907
man,230,54.347826086956516,45.65217391304348,2195493073
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,548626907
man,230,54.347826086956516,45.65217391304348,513787993
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,513787993
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,513787993
man,230,54.347826086956516,45.65217391304348,513787993
man,230,54.347826086956516,45.65217391304348,513787993
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,2195493073
man,230,54.347826086956516,45.65217391304348,513787993
man,230,54.347826086956516,45.65217391304348,249782044
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,548626907
man,230,54.347826086956516,45.65217391304348,548626907
man,230,54.347826086956516,45.65217391304348,548626907
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,513787993
man,230,54.347826086956516,45.65217391304348,513787993
man,230,54.347826086956516,45.65217391304348,388579974
man,230,54.347826086956516,45.65217391304348,513787993
man,230,54.347826086956516,45.65217391304348,35627887
man,230,54.347826086956516,45.65217391304348,511231057
man,230,54.347826086956516,45.65217391304348,756049831
man,230,54.347826086956516,45.65217391304348,919886574
man,230,54.347826086956516,45.65217391304348,420572254
man,230,54.347826086956516,45.65217391304348,522110370
man,230,54.347826086956516,45.65217391304348,2195493073
man,230,54.347826086956516,45.65217391304348,756049831
man,230,54.347826086956516,45.65217391304348,2195493073
man,230,54.347826086956516,45.65217391304348,420572254
man,230,54.347826086956516,45.65217391304348,24546672
man,230,54.347826086956516,45.65217391304348,44245603
man,230,54.347826086956516,45.65217391304348,522110370
man,230,54.347826086956516,45.65217391304348,392514148
man,230,54.347826086956516,45.65217391304348,297943941
man,230,54.347826086956516,45.65217391304348,215446879
man,230,54.347826086956516,45.65217391304348,540660963
man,230,54.347826086956516,45.65217391304348,909106970
man,230,54.347826086956516,45.65217391304348,909106970
man,230,54.347826086956516,45.65217391304348,196531533
man,230,54.347826086956516,45.65217391304348,196531533
man,230,54.347826086956516,45.65217391304348,196531533
man,230,54.347826086956516,45.65217391304348,909106970
man,230,54.347826086956516,45.65217391304348,909106970
man,230,54.347826086956516,45.65217391304348,909106970
man,230,54.347826086956516,45.65217391304348,215446879
man,230,54.347826086956516,45.65217391304348,909106970
man,230,54.347826086956516,45.65217391304348,909106970
man,230,54.347826086956516,45.65217391304348,3166163040
man,230,54.347826086956516,45.65217391304348,3166163040
man,230,54.347826086956516,45.65217391304348,1099214587
man,230,54.347826086956516,45.65217391304348,3166163040
man,230,54.347826086956516,45.65217391304348,92728914
man,230,54.347826086956516,45.65217391304348,1099214587
man,230,54.347826086956516,45.65217391304348,3166163040
man,230,54.347826086956516,45.65217391304348,196531533
man,230,54.347826086956516,45.65217391304348,1099214587
man,230,54.347826086956516,45.65217391304348,3166163040
man,230,54.347826086956516,45.65217391304348,42795468
man,230,54.347826086956516,45.65217391304348,92728914
man,230,54.347826086956516,45.65217391304348,42795468
man,230,54.347826086956516,45.65217391304348,42795468
man,230,54.347826086956516,45.65217391304348,51175773
man,230,54.347826086956516,45.65217391304348,1099214587
man,230,54.347826086956516,45.65217391304348,3166163040
man,230,54.347826086956516,45.65217391304348,24546672
man,230,54.347826086956516,45.65217391304348,42795468
man,230,54.347826086956516,45.65217391304348,297943941
man,230,54.347826086956516,45.65217391304348,1099214587
man,230,54.347826086956516,45.65217391304348,1099214587
man,230,54.347826086956516,45.65217391304348,42795468
man,230,54.347826086956516,45.65217391304348,42795468
man,230,54.347826086956516,45.65217391304348,223813995
man,230,54.347826086956516,45.65217391304348,1099214587
man,230,54.347826086956516,45.65217391304348,42795468
man,230,54.347826086956516,45.65217391304348,92728914
man,230,54.347826086956516,45.65217391304348,1683575401
man,230,54.347826086956516,45.65217391304348,1428039019
man,230,54.347826086956516,45.65217391304348,1099214587
man,230,54.347826086956516,45.65217391304348,2464554372
man,230,54.347826086956516,45.65217391304348,1099214587
man,230,54.347826086956516,45.65217391304348,1099214587
man,230,54.347826086956516,45.65217391304348,511231057
man,230,54.347826086956516,45.65217391304348,1099214587
man,230,54.347826086956516,45.65217391304348,2738526278
man,230,54.347826086956516,45.65217391304348,1099214587
