Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
court,1,0.0,100.0,351209897
hotter,1,100.0,0.0,825953262
deaths,1,0.0,100.0,2417189972
mother,1,0.0,100.0,411485640
ability,1,0.0,100.0,2931714486
tonyabbott,1,0.0,100.0,1168614020
crush,1,100.0,0.0,41479697
california,2,100.0,0.0,825953262
california,2,100.0,0.0,2170765645
day,3,66.66666666666666,33.33333333333333,517997193
day,3,66.66666666666666,33.33333333333333,382153540
day,3,66.66666666666666,33.33333333333333,621996473
shhhh,1,0.0,100.0,41479697
knowledge,1,100.0,0.0,2375662682
supply,1,0.0,100.0,440639555
drown,1,0.0,100.0,14303077
regeneration,1,0.0,100.0,45661957
paul,1,0.0,100.0,27203795
assholes,1,0.0,100.0,3017893369
80s,1,100.0,0.0,16487286
priority,1,100.0,0.0,17180291
message,1,100.0,0.0,126008063
kdeleon,1,100.0,0.0,343095829
financing,1,100.0,0.0,1283021432
opportunity,1,0.0,100.0,1174456664
alarmists,1,0.0,100.0,319931473
brink,1,0.0,100.0,42966205
capitalist,1,0.0,100.0,226521605
pakistan,1,0.0,100.0,1682038578
dannyksfun,1,100.0,0.0,343095829
jimharris,1,100.0,0.0,22589460
positions,1,0.0,100.0,75403792
scientist,2,50.0,50.0,314243234
scientist,2,50.0,50.0,29893766
chap,1,0.0,100.0,517997193
warming,4,50.0,50.0,3111012179
warming,4,50.0,50.0,1184640014
warming,4,50.0,50.0,126008063
warming,4,50.0,50.0,76514412
nights,1,100.0,0.0,234660291
tips,2,100.0,0.0,3105073274
tips,2,100.0,0.0,2993036154
exchange,1,100.0,0.0,344831740
ppl,1,0.0,100.0,27203795
legs,1,100.0,0.0,396999739
grief,1,0.0,100.0,246774523
disaster,1,0.0,100.0,142947693
onan,1,0.0,100.0,128633483
avekathleen,1,100.0,0.0,2993036154
greennh3,1,100.0,0.0,1169337758
july,1,100.0,0.0,15705283
outbreath,1,0.0,100.0,128633483
terms,1,0.0,100.0,148860840
utility,1,100.0,0.0,2993036154
narrative,1,0.0,100.0,76514412
antarctica,1,0.0,100.0,517997193
stat,1,0.0,100.0,382153540
vpirg,1,100.0,0.0,609485539
glad,1,100.0,0.0,840498092
sights,1,100.0,0.0,840498092
fuel,2,50.0,50.0,2595966508
fuel,2,50.0,50.0,2993036154
drought,1,0.0,100.0,588097287
r,1,0.0,100.0,2232982311
greenspace,1,0.0,100.0,382153540
future,5,100.0,0.0,330472602
future,5,100.0,0.0,330472602
future,5,100.0,0.0,517997193
future,5,100.0,0.0,517997193
future,5,100.0,0.0,142142545
rate,1,0.0,100.0,45661957
facts,1,0.0,100.0,816840528
af,1,100.0,0.0,24257249
deterioration,1,0.0,100.0,2810237143
normals,1,100.0,0.0,206972203
bartolinimatteo,1,100.0,0.0,563613307
vehicle,1,100.0,0.0,2993036154
run,1,100.0,0.0,396999739
justice,1,100.0,0.0,212293372
commits,1,0.0,100.0,128633483
december,1,100.0,0.0,14803951
creeclayton,1,100.0,0.0,1494592956
work,1,0.0,100.0,517997193
states,1,0.0,100.0,1375437380
sweater,1,100.0,0.0,465268864
cbsnewyork,1,0.0,100.0,38723680
bucketlist,1,100.0,0.0,517997193
flames,1,100.0,0.0,3105073274
dallas,1,0.0,100.0,198004487
clothes,1,100.0,0.0,2340798020
dinosaurs,1,0.0,100.0,96825691
morons,1,0.0,100.0,1870464230
mom,1,100.0,0.0,20306034
wildfires,1,0.0,100.0,39314178
war,1,0.0,100.0,38723680
recipe,1,100.0,0.0,1674558818
jobs,1,100.0,0.0,212463932
research,1,0.0,100.0,42966205
co2,5,20.0,80.0,128633483
co2,5,20.0,80.0,128633483
co2,5,20.0,80.0,128633483
co2,5,20.0,80.0,89561713
co2,5,20.0,80.0,3292215519
castellscarmen,1,100.0,0.0,136901718
capitalism,1,0.0,100.0,517997193
manner,1,100.0,0.0,517997193
direction,1,100.0,0.0,406705341
oregon,1,100.0,0.0,825953262
seattle,2,100.0,0.0,1916081982
seattle,2,100.0,0.0,24257249
readers,1,100.0,0.0,704219604
chasingice,1,100.0,0.0,126008063
solarimpulse,1,100.0,0.0,3111237760
arctic,1,0.0,100.0,270437243
quality,2,100.0,0.0,408752680
quality,2,100.0,0.0,259323534
inhofe,1,0.0,100.0,3111012179
gayrights,1,0.0,100.0,41766494
strategy,3,66.66666666666666,33.33333333333333,14803951
strategy,3,66.66666666666666,33.33333333333333,212463932
strategy,3,66.66666666666666,33.33333333333333,438862536
eah,1,100.0,0.0,197918942
utilisation,1,0.0,100.0,45661957
lets,2,0.0,100.0,254744099
lets,2,0.0,100.0,432048547
state,1,0.0,100.0,108419139
power,1,100.0,0.0,2993036154
followers,1,0.0,100.0,185360779
marijuana,1,0.0,100.0,75403792
scale,1,100.0,0.0,408752680
agriculture,2,100.0,0.0,563613307
agriculture,2,100.0,0.0,29072192
levels,1,0.0,100.0,517997193
loss,1,0.0,100.0,25963806
gore,1,0.0,100.0,29893766
cc,1,100.0,0.0,1283021432
