Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
actbrigitte,1,0.0,100.0,226521605
scheme,1,100.0,0.0,142947693
hunger,2,100.0,0.0,68599588
hunger,2,100.0,0.0,2470409048
godzilla,1,100.0,0.0,142947693
liar,6,0.0,100.0,226521605
liar,6,0.0,100.0,226521605
liar,6,0.0,100.0,226521605
liar,6,0.0,100.0,226521605
liar,6,0.0,100.0,226521605
liar,6,0.0,100.0,226521605
confidence,1,0.0,100.0,128633483
30s,2,0.0,100.0,17180291
30s,2,0.0,100.0,2579979278
wetter,1,0.0,100.0,17180291
celebrities,1,100.0,0.0,17180291
leak,1,0.0,100.0,3111012179
bunker,1,0.0,100.0,621996473
cyclists,1,0.0,100.0,68599588
efforts,9,77.77777777777779,22.22222222222222,2993036154
efforts,9,77.77777777777779,22.22222222222222,2993036154
efforts,9,77.77777777777779,22.22222222222222,2993036154
efforts,9,77.77777777777779,22.22222222222222,2993036154
efforts,9,77.77777777777779,22.22222222222222,2993036154
efforts,9,77.77777777777779,22.22222222222222,33856647
efforts,9,77.77777777777779,22.22222222222222,319931473
efforts,9,77.77777777777779,22.22222222222222,142947693
efforts,9,77.77777777777779,22.22222222222222,2149562384
bible,4,25.0,75.0,17180291
bible,4,25.0,75.0,128633483
bible,4,25.0,75.0,128633483
bible,4,25.0,75.0,17180291
stench,3,0.0,100.0,2579979278
stench,3,0.0,100.0,25963806
stench,3,0.0,100.0,142947693
machines,7,85.71428571428571,14.285714285714285,1169337758
machines,7,85.71428571428571,14.285714285714285,2993036154
machines,7,85.71428571428571,14.285714285714285,2993036154
machines,7,85.71428571428571,14.285714285714285,2993036154
machines,7,85.71428571428571,14.285714285714285,2993036154
machines,7,85.71428571428571,14.285714285714285,128633483
machines,7,85.71428571428571,14.285714285714285,25697311
santorum,1,0.0,100.0,17180291
town,1,0.0,100.0,142947693
scientist,6,16.666666666666664,83.33333333333334,314243234
scientist,6,16.666666666666664,83.33333333333334,29893766
scientist,6,16.666666666666664,83.33333333333334,319931473
scientist,6,16.666666666666664,83.33333333333334,68599588
scientist,6,16.666666666666664,83.33333333333334,319931473
scientist,6,16.666666666666664,83.33333333333334,128633483
lgbtiq,1,100.0,0.0,17180291
president,4,50.0,50.0,128633483
president,4,50.0,50.0,17180291
president,4,50.0,50.0,955698157
president,4,50.0,50.0,37794539
prize,1,100.0,0.0,128633483
village,3,66.66666666666666,33.33333333333333,125036205
village,3,66.66666666666666,33.33333333333333,25963806
village,3,66.66666666666666,33.33333333333333,382153540
posttv,1,0.0,100.0,2391870344
mammal,1,100.0,0.0,17180291
joenbc,1,0.0,100.0,226521605
—,1,100.0,0.0,1916081982
