Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
offense,2,0.0,100.0,16579411
offense,2,0.0,100.0,178863237
sexes,1,0.0,100.0,553480874
nike,1,0.0,100.0,553480874
incidents,3,0.0,100.0,553480874
incidents,3,0.0,100.0,16579411
incidents,3,0.0,100.0,2447898228
breath,1,100.0,0.0,2447898228
giuliani,1,100.0,0.0,92643660
count,1,0.0,100.0,553480874
lewis,1,0.0,100.0,33831682
nascar,2,0.0,100.0,2421964502
nascar,2,0.0,100.0,2421964502
pc,7,28.57142857142857,71.42857142857143,863113304
pc,7,28.57142857142857,71.42857142857143,863113304
pc,7,28.57142857142857,71.42857142857143,2447898228
pc,7,28.57142857142857,71.42857142857143,2447898228
pc,7,28.57142857142857,71.42857142857143,2447898228
pc,7,28.57142857142857,71.42857142857143,33831682
pc,7,28.57142857142857,71.42857142857143,33831682
mothers,1,0.0,100.0,30043610
comment,1,0.0,100.0,92643660
integrity,5,40.0,60.0,56838981
integrity,5,40.0,60.0,2869158160
integrity,5,40.0,60.0,457123526
integrity,5,40.0,60.0,20415005
integrity,5,40.0,60.0,56838981
darlin,1,100.0,0.0,753498337
barbaric,2,0.0,100.0,2447898228
barbaric,2,0.0,100.0,2447898228
environmentalists,1,0.0,100.0,107801651
hacks,1,0.0,100.0,92643660
checks,3,0.0,100.0,553480874
checks,3,0.0,100.0,2447898228
checks,3,0.0,100.0,2447898228
kaput,1,0.0,100.0,33831682
lawn,1,0.0,100.0,16579411
coming,1,100.0,0.0,565501978
public,3,0.0,100.0,2216532829
public,3,0.0,100.0,56838981
public,3,0.0,100.0,565501978
bwilliams,1,0.0,100.0,92643660
jackson,1,0.0,100.0,863113304
nyc,2,50.0,50.0,553480874
nyc,2,50.0,50.0,193192630
turds,2,0.0,100.0,56838981
turds,2,0.0,100.0,16579411
kobach,1,100.0,0.0,56838981
returns,1,0.0,100.0,2842797465
hee,1,0.0,100.0,863113304
deadbeats,2,50.0,50.0,2447898228
deadbeats,2,50.0,50.0,2447898228
mr,2,100.0,0.0,27665506
mr,2,100.0,0.0,2421964502
fan,5,100.0,0.0,30043610
fan,5,100.0,0.0,193192630
fan,5,100.0,0.0,753498337
fan,5,100.0,0.0,193192630
fan,5,100.0,0.0,753498337
scandals,1,0.0,100.0,107801651
rallies,1,100.0,0.0,92643660
strikes,1,100.0,0.0,553480874
voter,2,0.0,100.0,457123526
voter,2,0.0,100.0,2447898228
businessman,2,50.0,50.0,887569722
businessman,2,50.0,50.0,20415005
parody,1,0.0,100.0,56838981
advances,1,100.0,0.0,2447898228
communists,3,0.0,100.0,57461026
communists,3,0.0,100.0,56838981
communists,3,0.0,100.0,56838981
location,1,100.0,0.0,2447898228
imwithher,14,14.285714285714285,85.71428571428571,193192630
imwithher,14,14.285714285714285,85.71428571428571,193192630
imwithher,14,14.285714285714285,85.71428571428571,193192630
imwithher,14,14.285714285714285,85.71428571428571,193192630
imwithher,14,14.285714285714285,85.71428571428571,193192630
imwithher,14,14.285714285714285,85.71428571428571,193192630
imwithher,14,14.285714285714285,85.71428571428571,193192630
imwithher,14,14.285714285714285,85.71428571428571,193192630
imwithher,14,14.285714285714285,85.71428571428571,193192630
imwithher,14,14.285714285714285,85.71428571428571,193192630
imwithher,14,14.285714285714285,85.71428571428571,193192630
imwithher,14,14.285714285714285,85.71428571428571,193192630
imwithher,14,14.285714285714285,85.71428571428571,193192630
imwithher,14,14.285714285714285,85.71428571428571,193192630
east,1,0.0,100.0,553480874
opposite,1,0.0,100.0,28387976
wwii,2,50.0,50.0,2869158160
wwii,2,50.0,50.0,107801651
joshearnest,1,0.0,100.0,863113304
brotherhood,2,0.0,100.0,56838981
brotherhood,2,0.0,100.0,2447898228
duty,1,0.0,100.0,28387976
rooms,1,0.0,100.0,178863237
antics,1,0.0,100.0,56838981
fournier,2,0.0,100.0,20415005
fournier,2,0.0,100.0,20415005
mccarthyism,1,0.0,100.0,553480874
medicaid,2,0.0,100.0,177584156
medicaid,2,0.0,100.0,553480874
penalty,2,0.0,100.0,863113304
penalty,2,0.0,100.0,457123526
flake,1,100.0,0.0,33831682
nfl,4,0.0,100.0,56838981
nfl,4,0.0,100.0,56838981
nfl,4,0.0,100.0,553480874
nfl,4,0.0,100.0,33831682
nannies,2,0.0,100.0,33831682
nannies,2,0.0,100.0,33831682
narcissist,2,0.0,100.0,417201420
narcissist,2,0.0,100.0,417201420
overthrowusa,1,0.0,100.0,56838981
textbook,1,0.0,100.0,553480874
tampa,1,0.0,100.0,92643660
bush,18,5.555555555555555,94.44444444444444,333675022
bush,18,5.555555555555555,94.44444444444444,48240104
bush,18,5.555555555555555,94.44444444444444,753498337
bush,18,5.555555555555555,94.44444444444444,565501978
bush,18,5.555555555555555,94.44444444444444,20415005
bush,18,5.555555555555555,94.44444444444444,20415005
bush,18,5.555555555555555,94.44444444444444,2342293747
bush,18,5.555555555555555,94.44444444444444,2608084976
bush,18,5.555555555555555,94.44444444444444,2608084976
bush,18,5.555555555555555,94.44444444444444,1430129144
bush,18,5.555555555555555,94.44444444444444,2608084976
bush,18,5.555555555555555,94.44444444444444,20415005
bush,18,5.555555555555555,94.44444444444444,753498337
bush,18,5.555555555555555,94.44444444444444,3311276608
bush,18,5.555555555555555,94.44444444444444,20415005
bush,18,5.555555555555555,94.44444444444444,16579411
bush,18,5.555555555555555,94.44444444444444,1697810262
bush,18,5.555555555555555,94.44444444444444,92643660
stoptrump,1,0.0,100.0,16570951
parts,3,0.0,100.0,1292620070
parts,3,0.0,100.0,16579411
parts,3,0.0,100.0,3000593912
mycountry,1,100.0,0.0,457123526
cars,2,50.0,50.0,457123526
cars,2,50.0,50.0,20415005
body,2,0.0,100.0,553480874
body,2,0.0,100.0,56838981
scientist,1,0.0,100.0,553480874
control,17,0.0,100.0,1323411324
control,17,0.0,100.0,553480874
control,17,0.0,100.0,553480874
control,17,0.0,100.0,56838981
control,17,0.0,100.0,863113304
control,17,0.0,100.0,1323411324
control,17,0.0,100.0,16579411
control,17,0.0,100.0,887569722
control,17,0.0,100.0,565501978
control,17,0.0,100.0,865780110
control,17,0.0,100.0,16579411
control,17,0.0,100.0,753498337
control,17,0.0,100.0,16579411
control,17,0.0,100.0,565501978
control,17,0.0,100.0,92643660
control,17,0.0,100.0,2447898228
control,17,0.0,100.0,33831682
treason,13,0.0,100.0,553480874
treason,13,0.0,100.0,56838981
treason,13,0.0,100.0,3000593912
treason,13,0.0,100.0,16579411
treason,13,0.0,100.0,16579411
treason,13,0.0,100.0,16579411
treason,13,0.0,100.0,16579411
treason,13,0.0,100.0,16579411
treason,13,0.0,100.0,565501978
treason,13,0.0,100.0,16579411
treason,13,0.0,100.0,16579411
treason,13,0.0,100.0,16579411
treason,13,0.0,100.0,34955929
plague,2,0.0,100.0,553480874
plague,2,0.0,100.0,753498337
releasethememo,3,0.0,100.0,56838981
releasethememo,3,0.0,100.0,56838981
releasethememo,3,0.0,100.0,56838981
com,1,0.0,100.0,2447898228
weenie,1,0.0,100.0,56838981
feed,1,0.0,100.0,56838981
event,1,0.0,100.0,553480874
fuss,1,0.0,100.0,1430129144
williams,4,0.0,100.0,515728731
