Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
psalm,1,100.0,0.0,566898139
bunch,1,0.0,100.0,1511205571
reminder,1,100.0,0.0,177584156
mince,1,0.0,100.0,2306660054
charity,1,100.0,0.0,457123526
forpresidentoftheclubofidiots,1,100.0,0.0,213800459
luck,1,100.0,0.0,172098657
mess,1,0.0,100.0,1428473052
ass,3,0.0,100.0,1202310276
ass,3,0.0,100.0,75011877
ass,3,0.0,100.0,920161381
fight,2,0.0,100.0,789569244
fight,2,0.0,100.0,81582751
donald,4,25.0,75.0,26517251
donald,4,25.0,75.0,265530743
donald,4,25.0,75.0,2373807873
donald,4,25.0,75.0,24328805
capitalist,1,0.0,100.0,68956490
dillards,1,100.0,0.0,704306828
interview,1,100.0,0.0,493186164
fatigue,2,0.0,100.0,57461026
fatigue,2,0.0,100.0,530808482
lgbt,1,0.0,100.0,1687003296
balls,1,0.0,100.0,333675022
case,1,0.0,100.0,530808482
moron,1,0.0,100.0,780291397
matter,2,0.0,100.0,335915054
matter,2,0.0,100.0,23775246
law,3,33.33333333333333,66.66666666666666,2943508337
law,3,33.33333333333333,66.66666666666666,1299305076
law,3,33.33333333333333,66.66666666666666,117454986
wife,1,0.0,100.0,205367013
trouble,1,0.0,100.0,2373807873
honesty,1,0.0,100.0,2447898228
slavery,1,0.0,100.0,603741920
transfer,1,0.0,100.0,2412708224
history,1,0.0,100.0,183399458
wonder,1,0.0,100.0,15699819
rappists,1,0.0,100.0,20415005
athletes,1,0.0,100.0,380404913
planet,1,0.0,100.0,417201420
rock,1,100.0,0.0,1099962955
truth,10,0.0,100.0,28913772
truth,10,0.0,100.0,865780110
truth,10,0.0,100.0,16579411
truth,10,0.0,100.0,1323411324
truth,10,0.0,100.0,374289688
truth,10,0.0,100.0,265530743
truth,10,0.0,100.0,938272970
truth,10,0.0,100.0,2421964502
truth,10,0.0,100.0,1430129144
truth,10,0.0,100.0,480859386
fact,1,0.0,100.0,904176902
myth,1,0.0,100.0,380145388
status,1,0.0,100.0,574670873
riot,1,0.0,100.0,1511205571
liberalism,2,0.0,100.0,753498337
liberalism,2,0.0,100.0,177584156
realdonaldtrump,12,33.33333333333333,66.66666666666666,1447960080
realdonaldtrump,12,33.33333333333333,66.66666666666666,30043610
realdonaldtrump,12,33.33333333333333,66.66666666666666,28913772
realdonaldtrump,12,33.33333333333333,66.66666666666666,2762876709
realdonaldtrump,12,33.33333333333333,66.66666666666666,3332543943
realdonaldtrump,12,33.33333333333333,66.66666666666666,38900178
realdonaldtrump,12,33.33333333333333,66.66666666666666,2842797465
realdonaldtrump,12,33.33333333333333,66.66666666666666,294431458
realdonaldtrump,12,33.33333333333333,66.66666666666666,374289688
realdonaldtrump,12,33.33333333333333,66.66666666666666,260277195
realdonaldtrump,12,33.33333333333333,66.66666666666666,417201420
realdonaldtrump,12,33.33333333333333,66.66666666666666,193192630
millions,2,50.0,50.0,789569244
millions,2,50.0,50.0,457123526
tragedy,1,0.0,100.0,2402434332
companies,1,0.0,100.0,2213930756
saramurray,1,0.0,100.0,49216749
drugs,1,0.0,100.0,304185897
victories,1,0.0,100.0,16313440
style,1,0.0,100.0,577309341
gift,1,100.0,0.0,76924385
dude,2,0.0,100.0,1170778068
dude,2,0.0,100.0,493186164
texas,1,0.0,100.0,235791649
disgrace,2,0.0,100.0,794276665
disgrace,2,0.0,100.0,3103901558
nbc,3,0.0,100.0,92643660
nbc,3,0.0,100.0,205367013
nbc,3,0.0,100.0,1407822289
one,2,0.0,100.0,289107079
one,2,0.0,100.0,2402434332
cops,1,0.0,100.0,28685202
behalf,1,0.0,100.0,846447662
marines,1,0.0,100.0,107801651
scarcity,1,0.0,100.0,1858875583
youlose,1,0.0,100.0,1250393527
gigs,1,0.0,100.0,364324850
politics,3,0.0,100.0,794276665
politics,3,0.0,100.0,2277834518
politics,3,0.0,100.0,177584156
kudos,1,0.0,100.0,92643660
right,2,0.0,100.0,35759628
right,2,0.0,100.0,331994993
factor,1,0.0,100.0,288961609
christie,1,0.0,100.0,292684762
juan,1,0.0,100.0,1428473052
spoon,1,0.0,100.0,920161381
hang,1,0.0,100.0,2686561322
dismissal,1,0.0,100.0,128947880
leaders,1,0.0,100.0,1858875583
foxnation,1,0.0,100.0,33831682
allies,1,0.0,100.0,780291397
fucker,1,0.0,100.0,2842797465
threat,1,0.0,100.0,3255718752
backbone,1,100.0,0.0,48100655
montel,1,0.0,100.0,402725136
fireworks,1,0.0,100.0,1407822289
youcantdoit,1,0.0,100.0,3063840061
house,3,33.33333333333333,66.66666666666666,1574070996
house,3,33.33333333333333,66.66666666666666,2869158160
house,3,33.33333333333333,66.66666666666666,1734086719
lack,1,0.0,100.0,590180745
depression,1,0.0,100.0,57461026
scotus,1,100.0,0.0,49671976
criminals,1,0.0,100.0,177584156
reporters,1,0.0,100.0,16579411
women,2,50.0,50.0,426088240
women,2,50.0,50.0,590180745
speak,1,0.0,100.0,23135963
bs,4,0.0,100.0,747289232
bs,4,0.0,100.0,1202310276
bs,4,0.0,100.0,1323411324
bs,4,0.0,100.0,161272503
prison,1,0.0,100.0,2798798158
need,2,50.0,50.0,44565886
need,2,50.0,50.0,1734086719
terms,1,0.0,100.0,177584156
constitution,2,50.0,50.0,49671976
constitution,2,50.0,50.0,59380474
hoobastank,1,0.0,100.0,3352331979
flag,3,0.0,100.0,453561436
flag,3,0.0,100.0,467767056
flag,3,0.0,100.0,380404913
airtime,1,0.0,100.0,2813365387
ff,1,100.0,0.0,108155579
speech,1,100.0,0.0,3352331979
beheading,1,0.0,100.0,28802658
somebodys,1,0.0,100.0,16570951
something,2,50.0,50.0,487984707
something,2,50.0,50.0,38900178
parents,1,0.0,100.0,28685202
obamacare,3,0.0,100.0,718904023
obamacare,3,0.0,100.0,789569244
obamacare,3,0.0,100.0,177584156
work,2,0.0,100.0,2502484436
work,2,0.0,100.0,920161381
nascar,1,0.0,100.0,2421964502
l,1,100.0,0.0,493186164
parade,1,0.0,100.0,1407822289
border,1,0.0,100.0,2943508337
questions,1,0.0,100.0,2373807873
statements,1,0.0,100.0,187547165
socialism,1,0.0,100.0,2830642691
candidacy,1,0.0,100.0,49360369
robbery,1,0.0,100.0,1858875583
pic,1,0.0,100.0,515728731
court,1,100.0,0.0,270610643
movement,1,100.0,0.0,294431458
words!hes,1,0.0,100.0,863113304
evidence,1,0.0,100.0,1065869268
consequence,1,100.0,0.0,37293223
racists,2,0.0,100.0,3141654004
racists,2,0.0,100.0,467767056
leadership,1,100.0,0.0,597449483
conservatives,3,0.0,100.0,36864149
conservatives,3,0.0,100.0,2663115926
conservatives,3,0.0,100.0,2608084976
foot,1,0.0,100.0,28707625
time,7,57.14285714285714,42.857142857142854,3207939867
time,7,57.14285714285714,42.857142857142854,235791649
time,7,57.14285714285714,42.857142857142854,335915054
time,7,57.14285714285714,42.857142857142854,80605638
time,7,57.14285714285714,42.857142857142854,23775246
time,7,57.14285714285714,42.857142857142854,19363152
time,7,57.14285714285714,42.857142857142854,887569722
heart,3,66.66666666666666,33.33333333333333,183399458
heart,3,66.66666666666666,33.33333333333333,3260830099
heart,3,66.66666666666666,33.33333333333333,24823987
borders,1,0.0,100.0,2830642691
this!!notogaymarriage,1,0.0,100.0,446690057
manager,1,0.0,100.0,503415447
china,1,100.0,0.0,1694600448
plz,1,100.0,0.0,161272503
nuts,1,0.0,100.0,33831682
lie,1,0.0,100.0,1292620070
illegals,1,0.0,100.0,2737178169
nytimes,1,100.0,0.0,74747116
move,1,0.0,100.0,802659122
kinds,1,0.0,100.0,596857608
ships,1,0.0,100.0,107801651
makeup,1,0.0,100.0,36864149
followback,1,0.0,100.0,108155579
zero,1,0.0,100.0,61059961
claim,1,0.0,100.0,16570951
holy,1,0.0,100.0,2842797465
quit,1,0.0,100.0,2904178633
ill,1,100.0,0.0,1902111738
communist,1,0.0,100.0,68956490
data,1,0.0,100.0,304185897
piata,1,0.0,100.0,2831074471
hispanics,1,0.0,100.0,25552501
judgembro,1,100.0,0.0,22303562
bo,1,0.0,100.0,543787955
nyse,2,0.0,100.0,2153532458
nyse,2,0.0,100.0,621161868
winner,1,100.0,0.0,1734086719
jihadist,1,0.0,100.0,780291397
blisstabitha,1,0.0,100.0,565501978
senatorkitchen,1,0.0,100.0,609244293
world,1,0.0,100.0,2830642691
lovewins,1,100.0,0.0,446690057
city,1,100.0,0.0,80605638
hate,1,0.0,100.0,18774342
rainbow,1,0.0,100.0,446690057
train,1,100.0,0.0,28913772
days,1,100.0,0.0,49671976
workers,1,0.0,100.0,144041038
tom,1,100.0,0.0,3207939867
attention,2,0.0,100.0,3255718752
attention,2,0.0,100.0,364324850
change,1,0.0,100.0,16077441
nomination,2,50.0,50.0,48100655
nomination,2,50.0,50.0,574670873
anybody,1,0.0,100.0,1616820708
platform,1,100.0,0.0,3266225124
vote,1,0.0,100.0,26517251
billionaire,1,0.0,100.0,126410996
