Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
campus,3,0.0,100.0,106211842
campus,3,0.0,100.0,21819264
campus,3,0.0,100.0,106211842
womb,1,0.0,100.0,106211842
responsibility,1,100.0,0.0,972496296
rodger,4,0.0,100.0,21819264
rodger,4,0.0,100.0,21819264
rodger,4,0.0,100.0,21819264
rodger,4,0.0,100.0,21819264
alliance,1,100.0,0.0,21819264
"it""s",1,0.0,100.0,21819264
vagina,1,0.0,100.0,972496296
concept,2,0.0,100.0,21819264
concept,2,0.0,100.0,21819264
world,30,43.333333333333336,56.666666666666664,3041759534
world,30,43.333333333333336,56.666666666666664,382151611
world,30,43.333333333333336,56.666666666666664,24828490
world,30,43.333333333333336,56.666666666666664,972496296
world,30,43.333333333333336,56.666666666666664,362576854
world,30,43.333333333333336,56.666666666666664,509769573
world,30,43.333333333333336,56.666666666666664,299453646
world,30,43.333333333333336,56.666666666666664,972496296
world,30,43.333333333333336,56.666666666666664,972496296
world,30,43.333333333333336,56.666666666666664,972496296
world,30,43.333333333333336,56.666666666666664,972496296
world,30,43.333333333333336,56.666666666666664,972496296
world,30,43.333333333333336,56.666666666666664,972496296
world,30,43.333333333333336,56.666666666666664,3022193149
world,30,43.333333333333336,56.666666666666664,382151611
world,30,43.333333333333336,56.666666666666664,1399721636
world,30,43.333333333333336,56.666666666666664,21819264
world,30,43.333333333333336,56.666666666666664,21819264
world,30,43.333333333333336,56.666666666666664,21819264
world,30,43.333333333333336,56.666666666666664,21819264
world,30,43.333333333333336,56.666666666666664,21819264
world,30,43.333333333333336,56.666666666666664,21819264
world,30,43.333333333333336,56.666666666666664,21819264
world,30,43.333333333333336,56.666666666666664,21819264
world,30,43.333333333333336,56.666666666666664,1399721636
world,30,43.333333333333336,56.666666666666664,21819264
world,30,43.333333333333336,56.666666666666664,21819264
world,30,43.333333333333336,56.666666666666664,106211842
world,30,43.333333333333336,56.666666666666664,21819264
world,30,43.333333333333336,56.666666666666664,21819264
mange,1,0.0,100.0,16665596
tomorrow,1,0.0,100.0,21819264
risk,3,0.0,100.0,972496296
risk,3,0.0,100.0,106211842
risk,3,0.0,100.0,3131055880
criticism,2,0.0,100.0,413650758
criticism,2,0.0,100.0,2715213326
equalitywomenempowerment,1,0.0,100.0,21819264
anyone,6,0.0,100.0,45861294
anyone,6,0.0,100.0,107168854
anyone,6,0.0,100.0,2658420401
anyone,6,0.0,100.0,95697038
anyone,6,0.0,100.0,3131055880
anyone,6,0.0,100.0,106211842
think,1,0.0,100.0,3131055880
wink,1,0.0,100.0,972496296
sand,1,0.0,100.0,21819264
tush,1,0.0,100.0,1295672767
bit,2,50.0,50.0,815977938
