Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
congratulations,1,100.0,0.0,2323631724
croft,1,100.0,0.0,3309620663
test,1,100.0,0.0,168286179
object,1,0.0,100.0,952847162
fool,1,0.0,100.0,30486400
minister,1,0.0,100.0,1399721636
attention,2,0.0,100.0,2903479080
attention,2,0.0,100.0,3248746786
eye,1,100.0,0.0,3102023268
hate,2,0.0,100.0,1275194059
hate,2,0.0,100.0,3248746786
singer,1,100.0,0.0,3309419164
b,1,0.0,100.0,21819264
origins,1,100.0,0.0,2180563412
rise,1,100.0,0.0,53905837
day,3,66.66666666666666,33.33333333333333,25669608
day,3,66.66666666666666,33.33333333333333,282828453
day,3,66.66666666666666,33.33333333333333,2743380299
screwfeminism,1,0.0,100.0,1608967496
economy,1,100.0,0.0,2436453084
voices,1,0.0,100.0,471333409
lunatics,1,0.0,100.0,2916949294
family,3,66.66666666666666,33.33333333333333,250115148
family,3,66.66666666666666,33.33333333333333,21395960
family,3,66.66666666666666,33.33333333333333,1295672767
happiness,1,100.0,0.0,815977938
inequality,1,0.0,100.0,1275194059
response,1,100.0,0.0,31631820
times,1,0.0,100.0,356634518
thethingsthatmatter,1,100.0,0.0,57596515
views,3,66.66666666666666,33.33333333333333,2316983790
views,3,66.66666666666666,33.33333333333333,54682894
views,3,66.66666666666666,33.33333333333333,52560268
models,1,0.0,100.0,509769573
personalities,1,0.0,100.0,3369013761
slut,4,0.0,100.0,2568960285
slut,4,0.0,100.0,3164632718
slut,4,0.0,100.0,350490772
slut,4,0.0,100.0,3224829778
right,2,0.0,100.0,17674757
right,2,0.0,100.0,509769573
pay,1,100.0,0.0,2436453084
rfom,1,0.0,100.0,2565936404
joke,2,0.0,100.0,2903479080
joke,2,0.0,100.0,16665596
buddies,1,100.0,0.0,318667006
cutting,1,0.0,100.0,2935492656
mslatina,1,0.0,100.0,17674757
lot,3,33.33333333333333,66.66666666666666,133402768
lot,3,33.33333333333333,66.66666666666666,52432921
lot,3,33.33333333333333,66.66666666666666,3038116383
meganrapinoe,1,100.0,0.0,481713367
documentary,1,100.0,0.0,2564535115
womenundrsiege,1,0.0,100.0,2565936404
posters,1,0.0,100.0,56483993
office,1,0.0,100.0,3152384252
life,5,40.0,60.0,305506218
life,5,40.0,60.0,310483874
life,5,40.0,60.0,3253139498
life,5,40.0,60.0,350490772
life,5,40.0,60.0,2388340026
freedom,1,0.0,100.0,3303389147
abuser,1,0.0,100.0,509769573
quote,1,0.0,100.0,122215691
feministcruelty,1,0.0,100.0,115852160
eression,2,0.0,100.0,2935492656
eression,2,0.0,100.0,2935492656
charlottechurch,1,100.0,0.0,3309419164
20s,1,100.0,0.0,250115148
maternity,1,0.0,100.0,890240018
stopmarriagebill,1,0.0,100.0,904810734
womensrights,1,100.0,0.0,952847162
friends,1,0.0,100.0,3164632718
approval,1,0.0,100.0,177280097
patriarchy,4,0.0,100.0,1242194030
patriarchy,4,0.0,100.0,3342381723
patriarchy,4,0.0,100.0,20416773
