Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
careerready,1,100.0,0.0,2595010674
diff,18,5.555555555555555,94.44444444444444,135586989
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
diff,18,5.555555555555555,94.44444444444444,230899742
intruder,1,0.0,100.0,115883210
facepalm,3,33.33333333333333,66.66666666666666,1099255296
facepalm,3,33.33333333333333,66.66666666666666,2519041406
facepalm,3,33.33333333333333,66.66666666666666,230899742
associations,1,0.0,100.0,1900908690
voteredtosaveamerica,1,0.0,100.0,1245066085
suffocation,1,0.0,100.0,3241958463
heir,2,0.0,100.0,1900908690
heir,2,0.0,100.0,274582904
mills,5,0.0,100.0,1125492462
mills,5,0.0,100.0,1125492462
mills,5,0.0,100.0,157373298
mills,5,0.0,100.0,1125492462
mills,5,0.0,100.0,1125492462
drcollins10,1,100.0,0.0,556261687
sanctity,10,50.0,50.0,373505326
sanctity,10,50.0,50.0,157373298
sanctity,10,50.0,50.0,2794490467
sanctity,10,50.0,50.0,1099255296
sanctity,10,50.0,50.0,1099255296
sanctity,10,50.0,50.0,1099255296
sanctity,10,50.0,50.0,35206917
sanctity,10,50.0,50.0,2559582960
sanctity,10,50.0,50.0,256982070
sanctity,10,50.0,50.0,2794490467
anthonyichh,1,0.0,100.0,556261687
conjecture,1,0.0,100.0,323085742
assholes,8,0.0,100.0,1099255296
assholes,8,0.0,100.0,1099255296
assholes,8,0.0,100.0,1099255296
assholes,8,0.0,100.0,1245066085
assholes,8,0.0,100.0,274582904
assholes,8,0.0,100.0,2519041406
assholes,8,0.0,100.0,2519041406
assholes,8,0.0,100.0,1099255296
bribes,1,0.0,100.0,1245066085
reply,3,33.33333333333333,66.66666666666666,115883210
reply,3,33.33333333333333,66.66666666666666,274582904
reply,3,33.33333333333333,66.66666666666666,274582904
targets,1,100.0,0.0,1900908690
volition,1,100.0,0.0,319945811
supporttheinquiry,5,100.0,0.0,88296327
supporttheinquiry,5,100.0,0.0,88296327
supporttheinquiry,5,100.0,0.0,88296327
supporttheinquiry,5,100.0,0.0,88296327
supporttheinquiry,5,100.0,0.0,88296327
impunity,2,50.0,50.0,274582904
impunity,2,50.0,50.0,376370548
trauma,6,0.0,100.0,1938077630
trauma,6,0.0,100.0,3241958463
trauma,6,0.0,100.0,3241958463
trauma,6,0.0,100.0,1900908690
trauma,6,0.0,100.0,1900908690
trauma,6,0.0,100.0,1900908690
theydidnt,1,0.0,100.0,526650706
medicare,1,0.0,100.0,1245066085
voteprolife,3,100.0,0.0,2595010674
voteprolife,3,100.0,0.0,2595010674
voteprolife,3,100.0,0.0,2595010674
hillary,7,28.57142857142857,71.42857142857143,2794490467
hillary,7,28.57142857142857,71.42857142857143,2794490467
hillary,7,28.57142857142857,71.42857142857143,2794490467
hillary,7,28.57142857142857,71.42857142857143,157373298
hillary,7,28.57142857142857,71.42857142857143,126652559
hillary,7,28.57142857142857,71.42857142857143,376370548
hillary,7,28.57142857142857,71.42857142857143,115883210
consistency,1,0.0,100.0,63195884
omg,3,66.66666666666666,33.33333333333333,29967957
omg,3,66.66666666666666,33.33333333333333,2519041406
omg,3,66.66666666666666,33.33333333333333,230899742
blog,2,50.0,50.0,3241958463
blog,2,50.0,50.0,1900908690
manifesto,1,100.0,0.0,3041943642
amounts,1,0.0,100.0,2859217526
hillsboro,1,0.0,100.0,135586989
charliedaniels,1,100.0,0.0,2859217526
bitches,4,0.0,100.0,426804233
bitches,4,0.0,100.0,38054768
bitches,4,0.0,100.0,426804233
bitches,4,0.0,100.0,1099255296
bentley,1,100.0,0.0,157373298
planet,10,20.0,80.0,501234848
planet,10,20.0,80.0,1099255296
planet,10,20.0,80.0,28246428
planet,10,20.0,80.0,115883210
planet,10,20.0,80.0,115883210
planet,10,20.0,80.0,115883210
planet,10,20.0,80.0,1099255296
planet,10,20.0,80.0,115883210
planet,10,20.0,80.0,245580162
planet,10,20.0,80.0,115883210
abdomens,1,0.0,100.0,230899742
protestants,1,0.0,100.0,556261687
mess,1,0.0,100.0,1302428840
fact,43,9.30232558139535,90.69767441860465,19987328
